Componente 1,Componente 2,Cluster,Curso
0.01018064,-0.1992011,2,Como Trabalhar com Computadores e Dispositivos Móveis 
-0.008427914,-0.0046965103,1,Mudança do Clima e Gestão de Risco Climático: Conceitos Fundamentais 
0.2639798,0.2733823,4,"Prestação de contas, transparência e controle social no âmbito do FNDE "
-0.60838306,0.19429016,0,Nova Lei de Licitações: Sanções ao fornecedor 
-0.4807579,0.25004902,0,Metodologias Ativas 
-0.2921899,-0.10992552,3,Lei nº 8112/90 e suas alterações 
0.033194147,-0.11488354,1,Conhecendo o Programa de Voluntariado do ICMBio 
0.095138125,0.11169332,4,Introdução à Aplicação do Plano de Contratação Anual 
-0.09003942,-0.08630362,3,Análise de riscos para contratações de TIC 
0.18052053,-0.29030082,2,Curso de Formação de Servidores Municipais ou Distritais para a Fiscalização e a Cobrança do ITR 
0.26440018,0.34700936,4,Competências Socioemocionais aplicadas ao contexto penintenciário 
0.13309525,0.2600083,4,Introdução à Ciência de Dados - Tratamento de Dados 
-0.0012036375,-0.08919839,1,Introdução à Gestão de Processos 
0.064279415,-0.10446124,1,Segurança Química em Laboratórios de Ensino e Pesquisa 
-0.14274503,-0.09996752,3,Análise e Melhoria de Processos 
-0.19599919,-0.25303245,3,Primeiros passos para uso de Linguagem Simples 
0.016880088,0.18770386,4,Fundamentos da Lei Geral de Proteção de Dados 
0.1625031,0.0151069015,1,LGPD: Como coordenar a atuação do município para a governança de dados aplicada 
0.0730331,-0.0529818,1,Provas no Processo Administrativo Disciplinar 
0.0730331,-0.0529818,1,Provas no Processo Administrativo Disciplinar 
0.15449728,-0.25366136,2,Modelo de Governança e Gestão – Gestaopublicagov.br: Visão Geral e Sistema 
-0.14091854,-0.051874936,3,Processo Legislativo Orçamentário - Orçamento Impositivo 
-0.018351344,-0.112051085,3,Análise de Impacto Regulatório: Conceitos Fundamentais 
-0.60838306,0.19429016,0,Nova Lei de Licitações: Sanções ao fornecedor 
-0.15529822,-0.31622976,2,Ambientes Digitais de Aprendizagem 
0.05133925,0.042751662,1,Termos de Fomento e de Colaboração: Prestação de Contas 
